"gameId","id","date","value","rating","storeId","releasedate","minvalue","maxvalue","beforedate","beforevalue","nextdate","nextvalue"
"29e4c75d-53e9-4224-91e6-e4040f0a17ba",5,2019-02-12,1499,0.39,1,2015-04-15,299,1499,2019-02-06,299,,
"29e4c75d-53e9-4224-91e6-e4040f0a17ba",5,2019-01-22,1499,0.39,2,2015-04-15,299,1499,2019-01-15,299,,
"29e5648d-573a-4679-ac50-3f588d320e66",1,2018-12-09,699,0.00,3,2013-12-13,699,699,2018-12-09,699,,
"29e7b98e-01ef-4293-a661-cff947195cc3",6,2019-03-01,299,0.10,1,2016-11-18,49,299,2019-02-15,50,,
"29e98b31-ad6a-4e75-ad6c-9fbbc86958c5",1,2019-02-22,299,0,1,2019-02-21,299,299,2019-02-22,299,,
"29eac1e7-ba86-44bb-9f41-40c438361d35",2,2019-01-31,1799,0.47,2,2018-08-13,1349,1799,2019-01-24,1349,,
"29eac1e7-ba86-44bb-9f41-40c438361d35",3,2019-01-04,1799,0.47,1,2018-08-13,1349,1799,2018-12-22,1349,,
"29eb4dd0-1e19-4734-97c9-7981209e9492",4,2019-02-12,99,0.10,1,2016-02-01,49,99,2019-02-05,49,,
"29eda2e1-c4ae-4c87-814e-068b03bed846",3,2019-01-05,499,0.10,1,2016-03-29,299,499,2018-12-21,299,,
"29ef35fe-dbc7-46c4-baa1-b85e1a92a1c6",5,2019-02-24,399,0.10,1,2016-04-29,51,399,2019-02-05,51,,
"29f63de0-abae-4253-959d-0bd07ce5067c",5,2019-02-19,99,0.10,1,2016-12-14,49,99,2019-02-05,49,,
"29f6db40-75fd-4a39-9e49-34cab4c053a8",1,2018-12-09,99,0.00,3,2012-02-14,99,99,2018-12-09,99,,
"29f73e6b-c6fd-4c94-8ac8-0d477042139c",5,2019-02-12,1199,0.00,1,2018-10-10,779,1199,2019-02-05,779,,
"29f87b45-e278-4d1b-911a-e1527352803c",6,2019-02-28,99,0.00,1,2018-09-27,99,199,2019-02-13,199,,
"29f9c22b-2371-43b7-b0f3-3268c29911da",7,2019-02-12,499,0.10,1,2016-10-17,199,499,2019-02-05,249,,
"29f9d1b2-e5c3-4b60-a403-b62a4f5ab573",2,2019-01-25,699,0.40,4,2017-08-10,349,699,2019-01-22,349,,
"29f9d1b2-e5c3-4b60-a403-b62a4f5ab573",3,2019-01-04,699,0.40,2,2017-08-10,349,699,2018-12-14,349,,
"29f9d1b2-e5c3-4b60-a403-b62a4f5ab573",4,2019-01-11,699,0.40,3,2017-08-10,350,699,2018-12-19,350,,
"29fa9c8e-c7ca-44e8-9f63-d4cfbdaa9bc8",1,2019-01-22,1999,0.32,4,2017-02-06,1999,1999,2019-01-22,1999,,
"29fa9c8e-c7ca-44e8-9f63-d4cfbdaa9bc8",2,2018-12-04,1999,0.32,2,2017-02-06,499,1999,2018-12-02,499,,
